Feature,AbsoluteCoefficient
ChronicCount,0.42124116555132285
PaidClaimsPMPM,0.37452588175616663
CareGapCount,0.32744677313048604
New_Diagnosis_Flag,0.2951805579631832
Prior_HCC_Flag,0.2395973317771196
ProviderGroup_Golden Valley,0.2331985351435945
ProviderGroup_Harbor Physicians,0.1869903699262359
ProviderGroup_Frontier Health,0.18048500666038514
Age,0.13144452433846987
ProviderGroup_Alpha Medical Group,0.13067601313538446
Region_South,0.11773838342531064
Region_West,0.1176252060149439
RX_Count,0.11521084960528233
ER_Visits,0.1145934219946468
ProviderGroup_BayCare Network,0.09239007683818114
